,ip,date,asn,dns_name,port,pep_link
10701,98.97.108.119,2025-05-17,14593,['customer.dnvrcox1.pop.starlinkisp.net'],[  80 1443 2222 6785 8081],[False False False False False]
10702,98.97.115.83,2025-05-17,14593,['customer.tmpeazx1.pop.starlinkisp.net'],[443],[False]
10703,212.105.151.58,2025-05-17,14593,['customer.mlnnita1.pop.starlinkisp.net'],[ 80 554],[False False]
10704,129.222.89.144,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[161 500],[False False]
10705,98.97.186.206,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[541],[False]
10706,129.222.169.103,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[1194 8443 9443],[False False False]
10707,65.181.31.49,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[ 123  161  500 4004 6004 9004],[False False False False False False]
10708,116.91.217.158,2025-05-17,14593,['customer.prthaus1.pop.starlinkisp.net'],[ 443  500 5060 5060 5061],[False False False False False]
10709,170.203.216.58,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[ 80 443 500],[False False False]
10710,98.97.97.130,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[500],[False]
10711,14.1.67.59,2025-05-17,14593,[],[443],[False]
10712,66.9.169.221,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[ 80 443],[False False]
10713,129.222.249.233,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[ 80 500],[False False]
10714,209.198.136.121,2025-05-17,14593,['customer.mlnnita1.pop.starlinkisp.net'],[500],[False]
10715,129.222.156.234,2025-05-17,14593,['customer.mplsmnx1.pop.starlinkisp.net'],[  500 11000],[False False]
10716,143.105.46.61,2025-05-17,14593,[],[  161   443 32015],[False  True  True]
10717,143.105.46.17,2025-05-17,14593,[],[1701 1723],[False False]
10718,143.105.46.4,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 80 443],[False False]
10719,65.181.18.183,2025-05-17,14593,[],[ 161 2000],[False False]
10720,129.222.22.1,2025-05-17,14593,['customer.chcoilx1.pop.starlinkisp.net'],[161 500],[False False]
10721,135.129.114.7,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[ 22 123 161],[False False False]
10722,66.9.160.28,2025-05-17,14593,[],[  80  443  541 8443],[False False False False]
10723,145.224.69.109,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[  443   500  1701  1723 55443],[False False False False False]
10724,170.203.212.32,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[ 500 6800],[False False]
10725,143.105.81.108,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[2000 8090],[False False]
10726,145.224.112.107,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[500],[False]
10727,138.84.49.233,2025-05-17,14593,[],[  53   88 2000 8729],[False False False False]
10728,169.155.249.243,2025-05-17,14593,['customer.mdrdesp1.pop.starlinkisp.net'],[ 443 1022],[False False]
10729,129.222.154.199,2025-05-17,14593,['customer.mplsmnx1.pop.starlinkisp.net'],[500],[False]
10730,129.224.199.138,2025-05-17,14593,['customer.dllstxx1.pop.starlinkisp.net'],[500],[False]
10731,209.198.136.236,2025-05-17,14593,['customer.mlnnita1.pop.starlinkisp.net'],[ 22 161 443],[False False False]
10732,129.222.182.170,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 500 4500],[False False]
10733,65.181.25.50,2025-05-17,14593,['customer.mnlaphl1.pop.starlinkisp.net'],[ 161  541 4343],[False False False]
10734,66.9.183.2,2025-05-17,14593,['customer.sltyutx1.pop.starlinkisp.net'],[500],[False]
10735,98.97.69.35,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[500],[False]
10736,206.83.116.127,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[500],[False]
10737,168.140.246.231,2025-05-17,14593,[],[53],[False]
10738,143.105.139.95,2025-05-17,14593,[],[500],[False]
10739,65.181.0.211,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[10968 58877],[False False]
10740,129.222.178.180,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[541],[False]
10741,129.222.110.32,2025-05-17,14593,[],[8080],[False]
10742,148.222.210.57,2025-05-17,14593,['customer.splobra1.pop.starlinkisp.net'],[   80   264   443   500 18264],[False False False False False]
10743,169.155.249.123,2025-05-17,14593,['customer.mdrdesp1.pop.starlinkisp.net'],[ 22 161 443],[False False False]
10744,206.214.231.150,2025-05-17,14593,['customer.lga4.mc.starlinkisp.net'],[ 80 443],[False False]
10745,129.222.183.150,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 80 443],[False False]
10746,129.222.54.106,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[  161 32015],[False  True]
10747,98.97.160.241,2025-05-17,14593,['customer.jhngzaf1.pop.starlinkisp.net'],[500],[False]
10748,98.97.67.93,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[443 500],[False False]
10749,148.222.221.120,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[ 22  80 443 541],[False False False False]
10750,129.222.105.237,2025-05-17,14593,['customer.tmpeazx1.pop.starlinkisp.net'],[500],[False]
10751,98.97.62.132,2025-05-17,14593,['customer.snjecax1.pop.starlinkisp.net'],[8443],[False]
10752,66.9.170.66,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[ 80 443],[False False]
10753,206.83.107.171,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[500],[False]
10754,169.155.240.43,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[5312],[ True]
10755,129.222.209.223,2025-05-17,14593,['customer.nwyynyx1.pop.starlinkisp.net'],[80],[False]
10756,129.224.197.227,2025-05-17,14593,['customer.dllstxx1.pop.starlinkisp.net'],[500],[False]
10757,129.222.176.232,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 80 443],[False False]
10758,98.97.92.179,2025-05-17,14593,['customer.dllstxx1.pop.starlinkisp.net'],[541],[False]
10759,65.181.31.187,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[ 500 1701],[False False]
10760,129.222.21.163,2025-05-17,14593,['customer.chcoilx1.pop.starlinkisp.net'],[ 80 443],[False False]
10761,148.222.212.66,2025-05-17,14593,['customer.bnssarg1.pop.starlinkisp.net'],[443],[False]
10762,98.97.64.139,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[37779 65443],[False False]
10763,200.189.17.69,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[   22    23    80   161   443 11102],[False False False False False False]
10764,65.181.0.13,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[541],[False]
10765,145.224.125.99,2025-05-17,14593,[],[  21   80 1723 2000 8729],[False False False False False]
10766,98.97.47.18,2025-05-17,14593,[],[500],[False]
10767,98.97.151.10,2025-05-17,14593,['customer.jhngzaf1.pop.starlinkisp.net'],[10443],[False]
10768,212.105.141.150,2025-05-17,14593,[],[2000],[False]
10769,188.92.249.21,2025-05-17,14593,['customer.mdrdesp1.pop.starlinkisp.net'],[ 443 1022],[False False]
10770,179.60.171.143,2025-05-17,14593,['customer.frtabra1.pop.starlinkisp.net'],[541],[False]
10771,143.105.90.3,2025-05-17,14593,[],[1701],[False]
10772,129.222.177.54,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 22  80 443 541],[False False False False]
10773,206.83.121.133,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[443 500],[False False]
10774,98.97.117.20,2025-05-17,14593,['customer.tmpeazx1.pop.starlinkisp.net'],[503 789],[False False]
10775,143.105.110.26,2025-05-17,14593,['customer.chcoilx1.pop.starlinkisp.net'],[500],[False]
10776,170.203.210.102,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[264 443 500],[False False False]
10777,129.224.199.189,2025-05-17,14593,['customer.dllstxx1.pop.starlinkisp.net'],[ 1723 32015],[False  True]
10778,14.1.93.218,2025-05-17,14593,['customer.prthaus1.pop.starlinkisp.net'],[500],[False]
10779,98.97.159.86,2025-05-17,14593,['customer.lgosnga1.pop.starlinkisp.net'],[  21   22   23   80 2000 8728 8729],[False False False False False False False]
10780,138.84.32.88,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[   21    22    23   161 11500],[False False False False False]
10781,143.105.91.247,2025-05-17,14593,[],[22],[False]
10782,143.105.91.121,2025-05-17,14593,['customer.lsancax1.pop.starlinkisp.net'],[500],[False]
10783,145.224.84.231,2025-05-17,14593,[],[  22  111  111 3128 8006],[False False False False False]
10784,143.105.2.106,2025-05-17,14593,['customer.ashnvax2.pop.starlinkisp.net'],[443],[False]
10785,129.222.208.66,2025-05-17,14593,['customer.nwyynyx1.pop.starlinkisp.net'],[  500  4500 10443],[False False False]
10786,129.222.148.247,2025-05-17,14593,['customer.nrbiken1.pop.starlinkisp.net'],[500],[False]
10787,98.97.189.112,2025-05-17,14593,['customer.tmpeazx1.pop.starlinkisp.net'],[  80  443 4433],[False False False]
10788,98.97.96.253,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[500],[False]
10789,129.222.80.76,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[443],[ True]
